1. Baulandver‰uﬂerungen in Bayern nach Baulandarten;;;;;;;;
;;;;;;;;
Jahr;;Baulandver‰uﬂerungen insgesamt;;;Baureifes Land;;;
4. Vj.; 7 223    ; 10 559    ;1 686 504    ;  159,72    ; 6 000    ; 6 108    ;1 384 184    ;  226,62    
;;;;;;;;
2016;;;;;;;;
 1. Vj. ; 5 030    ; 7 048    ;1 171 969    ;  166,28    ; 4 164    ; 3 939    ; 940 814    ;  238,82    
2. Vj.; 5 393    ; 7 396    ;1 263 480    ;  170,84    ; 4 521    ; 4 179    ; 938 203    ;  224,51    
3. Vj.; 6 107    ; 8 980    ;1 497 465    ;  166,76    ; 5 003    ; 4 858    ;1 166 468    ;  240,11    
4. Vj.; 9 260    ; 13 609    ;2 657 238    ;  195,25    ; 7 794    ; 7 393    ;2 219 138    ;  300,19    
;;;;;;;;
2017;;;;;;;;
 1. Vj. ; 3 318    ; 4 081    ; 817 799    ;  200,40    ; 2 865    ; 2 580    ; 689 399    ;  267,22    
2. Vj.; 5 885    ; 7 975    ;1 663 664    ;  208,60    ; 4 986    ; 4 733    ;1 406 705    ;  297,21    
3. Vj.; 6 932    ; 10 364    ;1 940 302    ;  187,22    ; 5 815    ; 5 472    ;1 609 557    ;  294,15    
4. Vj.; 7 031    ; 10 043    ;2 565 269    ;  255,42    ; 5 856    ; 5 696    ;2 140 073    ;  375,69    
;;;;;;;;
2018;;;;;;;;
 1. Vj. ; 4 482    ; 5 952    ;1 201 494    ;  201,85    ; 3 824    ; 3 502    ; 965 342    ;  275,62    
2. Vj.; 5 288    ; 7 403    ;1 661 940    ;  224,50    ; 4 447    ; 4 201    ;1 276 695    ;  303,88    
3. Vj.; 5 820    ; 7 992    ;1 728 154    ;  216,23    ; 4 961    ; 4 682    ;1 418 414    ;  302,92    
4. Vj.; 5 968    ; 10 846    ;2 330 179    ;  214,83    ; 4 969    ; 4 998    ;1 747 233    ;  349,57    
;;;;;;;;
2019;;;;;;;;
 1. Vj. ; 3 528    ; 4 982    ; 884 775    ;  177,59    ; 2 941    ; 2 956    ; 778 283    ;  263,30    
2. Vj.; 4 642    ; 6 325    ;1 397 754    ;  220,97    ; 4 017    ; 4 166    ;1 121 181    ;  269,11    
3. Vj.; 6 386    ; 8 339    ;1 936 865    ;  232,28    ; 5 539    ; 5 021    ;1 651 414    ;  328,93    
4. Vj.; 6 739    ; 11 034    ;2 272 977    ;  206,00    ; 5 701    ; 5 562    ;1 829 346    ;  328,89    
;;;;;;;;
2020;;;;;;;;
 1. Vj. ; 3 739    ; 4 819    ; 886 447    ;  183,95    ; 3 216    ; 2 854    ; 663 953    ;  232,63    
2. Vj.; 5 015    ; 7 170    ;1 644 916    ;  229,43    ; 4 357    ; 4 224    ;1 418 654    ;  335,86    
3. Vj.; 6 088    ; 7 831    ;2 545 290    ;  325,01    ; 5 374    ; 5 339    ;2 273 728    ;  425,86    
4. Vj.; 7 059    ; 10 099    ;2 379 982    ;  235,66    ; 6 146    ; 5 880    ;2 025 192    ;  344,39    
